brokered_by,status, Listing Price ($) , Price per Sqft ,bed,bath,street,city,state,zip_code,House Size (sqft),prev_sold_date,Years Since Last Sale
55982,for_sale," $429,000.00 ", $304.69 ,3,2,189911,Miami,Florida,33177,1408,10/19/21,3
22611,for_sale," $459,000.00 ", $353.08 ,4,3,1830748,Miami,Florida,33157,1300,,
49895,for_sale," $359,000.00 ", $332.41 ,2,1,155386,Miami,Florida,33176,1080,,
29769,for_sale," $525,000.00 ", $346.31 ,3,2,1607268,Miami,Florida,33156,1516,,
31855,for_sale," $280,000.00 ", $259.26 ,3,1,43097,Miami,Florida,33157,1080,,
30957,for_sale," $299,900.00 ", $281.07 ,3,1,63721,Miami,Florida,33157,1067,,
104644,for_sale," $234,000.00 ", $312.00 ,2,2,380562,Miami,Florida,33196,750,11/19/21,3
81066,for_sale," $240,000.00 ", $251.31 ,2,2,101679,Miami,Florida,33176,955,,
45379,for_sale," $360,000.00 ", $325.20 ,3,2,81057,Miami,Florida,33157,1107,,
77159,for_sale," $570,000.00 ", $284.29 ,3,3,31426,Miami,Florida,33196,2005,,
45379,for_sale," $630,000.00 ", $378.38 ,4,2,711872,Miami,Florida,33170,1665,6/1/17,8
73388,for_sale," $535,200.00 ", $305.31 ,3,2,644981,Miami,Florida,33177,1753,9/30/19,5
22611,for_sale," $495,000.00 ", $348.59 ,3,2,358531,Miami,Florida,33177,1420,,
51643,for_sale," $679,700.00 ", $303.57 ,4,3,380317,Miami,Florida,33196,2239,,
30750,for_sale," $375,000.00 ", $324.39 ,2,2,1607825,Miami,Florida,33156,1156,11/26/12,12
96023,for_sale," $1,150,000.00 ", $569.59 ,4,2,669945,Miami,Florida,33187,2019,6/2/00,25
22611,for_sale," $2,975,000.00 ", $427.57 ,7,7,314997,Miami,Florida,33176,6958,12/2/20,4
2635,for_sale," $399,000.00 ", $173.93 ,4,3,637446,Miami,Florida,33189,2294,10/2/17,7
70902,for_sale," $325,000.00 ", $160.57 ,3,2,368429,Miami,Florida,33176,2024,,
8398,for_sale," $350,000.00 ", $181.91 ,3,2,,Miami,Florida,33187,1924,,
82264,for_sale," $320,000.00 ", $145.72 ,3,2,449077,Miami,Florida,33157,2196,6/25/08,16
90024,for_sale," $339,000.00 ", $209.00 ,3,2,507250,Miami,Florida,33177,1622,3/26/19,6
99154,for_sale," $459,000.00 ", $187.81 ,5,3,511587,Miami,Florida,33187,2444,11/25/20,4
92729,for_sale," $180,000.00 ", $153.85 ,3,2,591406,Miami,Florida,33187,1170,,
64129,for_sale," $299,000.00 ", $221.48 ,2,3,27529,Miami,Florida,33196,1350,,
68688,for_sale," $230,000.00 ", $258.14 ,2,1,90021,Miami,Florida,33196,891,,
